company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
Ares Management Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
"Beth Israel Lahey Health, Inc.",,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
"IXL Learning, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"National Football League, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Pinterest, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Sullivan & Cromwell LLP,,0,0,0,,,other_or_review,review,low,0,no rule match
"The Broad Institute, Inc.",,0,0,0,,,exclude,review,high,0,exclude pattern: \binstitute\b
University of Illinois At Urbana–Champaign,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Bain Capital Holdings LP,,0,0,0,,,finance,review,medium,1,finance keyword: \bcapital\b
Beaumont Health,,0,0,0,,,exclude,review,high,0,exclude pattern: \bhealth\b
Five Rings LLC,,0,0,0,,,other_or_review,review,low,1,no rule match
"Macy's, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Moody's Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
Ove Arup Partnership Charitable Trust,,0,0,0,,,other_or_review,review,low,0,no rule match
"QUALCOMM, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Success Academy Charter Schools, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
The Bank of New York Mellon Corp.,,0,0,0,,,finance,review,medium,1,finance keyword: \bbank\b
"ZS Associates, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"Analysis Group, Inc. (Massachusetts)",,0,0,0,,,other_or_review,review,low,0,no rule match
Baylor College of Medicine,,0,0,0,,,exclude,review,high,0,exclude pattern: \bcollege\b
Booz Allen Hamilton Holding Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
"DraftKings, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
